"Public Investments (2022 Million USD) by Country/area, Technology and Year"

"Country/area","Technology","Year",Public Investments (2022 Million USD)
"Uzbekistan","Nuclear","2005",-
"Uzbekistan","Nuclear","2006",-
"Uzbekistan","Nuclear","2007",1.33
"Uzbekistan","Nuclear","2008",3.27
"Uzbekistan","Nuclear","2009",5.76
"Uzbekistan","Nuclear","2010",17.95
"Uzbekistan","Nuclear","2011",-
"Uzbekistan","Nuclear","2012",-
"Uzbekistan","Nuclear","2013",-
"Uzbekistan","Nuclear","2014",-
"Uzbekistan","Nuclear","2015",1.72
"Uzbekistan","Nuclear","2016",-
"Uzbekistan","Nuclear","2017",-
"Uzbekistan","Nuclear","2018",-
"Uzbekistan","Nuclear","2019",0.00
"Uzbekistan","Nuclear","2020",0.24
"Uzbekistan","Nuclear","2021",-
"Uzbekistan","Nuclear","2022",-
"Uzbekistan","Nuclear","2023",-
"Uzbekistan","Non-renewable municipal waste","2000",-
"Uzbekistan","Non-renewable municipal waste","2001",-
"Uzbekistan","Non-renewable municipal waste","2002",-
"Uzbekistan","Non-renewable municipal waste","2003",-
"Uzbekistan","Non-renewable municipal waste","2004",-
"Uzbekistan","Non-renewable municipal waste","2005",-
"Uzbekistan","Non-renewable municipal waste","2006",-
"Uzbekistan","Non-renewable municipal waste","2007",-
"Uzbekistan","Non-renewable municipal waste","2008",-
"Uzbekistan","Non-renewable municipal waste","2009",-
"Uzbekistan","Non-renewable municipal waste","2010",-
"Uzbekistan","Non-renewable municipal waste","2011",-
"Uzbekistan","Non-renewable municipal waste","2012",-
"Uzbekistan","Non-renewable municipal waste","2013",-
"Uzbekistan","Non-renewable municipal waste","2014",-
"Uzbekistan","Non-renewable municipal waste","2015",-
"Uzbekistan","Non-renewable municipal waste","2016",-
"Uzbekistan","Non-renewable municipal waste","2017",-
"Uzbekistan","Non-renewable municipal waste","2018",-
"Uzbekistan","Non-renewable municipal waste","2019",-
"Uzbekistan","Non-renewable municipal waste","2020",-
"Uzbekistan","Non-renewable municipal waste","2021",-
"Uzbekistan","Non-renewable municipal waste","2022",-
"Uzbekistan","Non-renewable municipal waste","2023",-
